ID,Compartment,Connexion,connexions ID,Process
1,Ocean Surface Water,Ocean Mixed Water,2,settling
1,Ocean Surface Water,Air,15,sea_spray_aerosol
2,Ocean Mixed Water,Ocean Surface Water,1,rising
2,Ocean Mixed Water,Ocean Column Water,3,settling
3,Ocean Column Water,Ocean Mixed Water,2,rising
3,Ocean Column Water,Sediment,8,settling
4,Coast Surface Water,Ocean Surface Water,1,advective_transport
4,Coast Surface Water,Coast Column Water,5,settling
4,Coast Surface Water,Air,15,sea_spray_aerosol
5,Coast Column Water,Coast Surface Water,4,rising/mixing?
5,Coast Column Water,Ocean Mixed Water,2,advective_transport
5,Coast Column Water,Sediment,8,settling
6,Surface Freshwater,Coast Surface Water,4,advective_transport
6,Surface Freshwater,Bulk Freshwater,7,settling
6,Surface Freshwater,Air,15,?
7,Bulk Freshwater,Surface Freshwater,6,rising
7,Bulk Freshwater,Coast Column Water,5,advective_transport
7,Bulk Freshwater,Sediment,8,settling
8,Sediment,Bulk Freshwater,7,sediment_resuspension
8,Sediment,Coast Column Water,5,sediment_resuspension
8,Sediment,Ocean Column Water,3,sediment_resuspension
9,Urban Soil Surface,Air,15,soil_air_resuspension
9,Urban Soil Surface,Urban Soil,10,"percolation,tillage"
9,Urban Soil Surface,Surface Freshwater,6,runoff_transport
9,Urban Soil Surface,Coast Surface Water,4,runoff_transport
9,Urban Soil Surface,Background Soil Surface,11,?
10,Urban Soil,Urban Soil Surface,9,tillage
11,Background Soil Surface,Air,15,soil_air_resuspension
11,Background Soil Surface,Surface Freshwater,6,runoff_transport
11,Background Soil Surface,Coast Surface Water,4,runoff_transport
11,Background Soil Surface,Background Soil,12,"percolation,tillage"
12,Background Soil,Background Soil Surface,11,"percolation,tillage"
13,Agricultural Soil Surface,Air,15,soil_air_resuspension
13,Agricultural Soil Surface,Surface Freshwater,6,runoff_transport
13,Agricultural Soil Surface,Coast Surface Water,4,runoff_transport
13,Agricultural Soil Surface,Background Soil,12,runoff_transport
13,Agricultural Soil Surface,Agricultural Soil,14,"percolation,tillage"
14,Agricultural Soil,Agricultural Soil Surface,13,tillage
15,Air,Agricultural Soil Surface,13,"dry_deposition, wet_deposition"
15,Air,Background Soil Surface,11,"dry_deposition, wet_deposition"
15,Air,Urban Soil Surface,9,"dry_deposition, wet_deposition"
15,Air,Surface Freshwater,6,"dry_deposition, wet_deposition"
15,Air,Coast Surface Water,4,"dry_deposition, wet_deposition"
15,Air,Ocean Surface Water,1,"dry_deposition, wet_deposition"
